month,region,category,channel,orders,units,gross_cents,discount_cents,cogs_cents,plan_cents
2025-05-01,East,Technology,Online,87,261,3798855,265920,2317302,3355645
2025-05-01,North,Essentials,Direct,65,325,1265875,44306,670914,1089099
2025-05-01,North,Essentials,Online,80,400,1558000,109060,825740,1477212
2025-05-01,North,Furniture,Direct,69,138,2758275,248245,1944584,2615613
2025-05-01,North,Furniture,Online,91,182,3637725,454716,2564596,2927925
2025-05-01,North,Technology,Direct,80,240,3493200,122262,2130852,3481932
2025-05-01,North,Technology,Online,96,288,4191840,293429,2557022,3965762
2025-05-01,South,Essentials,Direct,75,375,1460625,51122,774131,1230279
2025-05-01,South,Essentials,Online,87,435,1694325,118603,897992,1710456
2025-05-01,South,Furniture,Direct,77,154,3078075,277027,2170043,2966964
2025-05-01,South,Furniture,Online,103,206,4117425,514678,2902785,3678675
2025-05-01,South,Technology,Direct,82,246,3580530,125319,2184123,3436712
2025-05-01,South,Technology,Online,116,348,5065140,354560,3089735,4270820
2025-05-01,West,Essentials,Direct,76,380,1480100,51804,784453,1650150
2025-05-01,West,Essentials,Online,109,545,2122775,148594,1125071,2186663
2025-05-01,West,Furniture,Direct,87,174,3477825,469506,2451867,3682088
2025-05-01,West,Furniture,Online,115,230,4597125,781511,3240973,4350938
2025-05-01,West,Technology,Direct,104,312,4541160,158941,2770108,4316445
2025-05-01,West,Technology,Online,118,354,5152470,360673,3143007,5150340
2025-06-01,East,Essentials,Direct,54,270,1051650,36808,557375,1068931
2025-06-01,East,Essentials,Online,77,385,1499575,104970,794775,1341153
2025-06-01,East,Furniture,Direct,66,132,2638350,237452,1860037,2186184
2025-06-01,East,Furniture,Online,90,180,3597750,449719,2536414,2740238
2025-06-01,East,Technology,Direct,75,225,3274875,114621,1997674,2803634
2025-06-01,East,Technology,Online,92,276,4017180,281203,2450480,3835022
2025-06-01,North,Essentials,Direct,64,320,1246400,43624,660592,1230279
2025-06-01,North,Essentials,Online,88,440,1713800,119966,908314,1593834
2025-06-01,North,Furniture,Direct,80,160,3198000,287820,2254590,2615613
2025-06-01,North,Furniture,Online,96,192,3837600,479700,2705508,3040538
2025-06-01,North,Technology,Direct,82,246,3580530,125319,2184123,3301053
2025-06-01,North,Technology,Online,101,303,4410165,308712,2690201,3878602
2025-06-01,South,Essentials,Direct,83,415,1616425,56575,856705,1411795
2025-06-01,South,Essentials,Online,93,465,1811175,126782,959923,1691019
2025-06-01,South,Furniture,Direct,82,164,3277950,295016,2310955,3162159
2025-06-01,South,Furniture,Online,101,202,4037475,504684,2846420,3528525
2025-06-01,South,Technology,Direct,95,285,4148175,145186,2530387,3617592
2025-06-01,South,Technology,Online,113,339,4934145,345390,3009828,4793778
2025-06-01,West,Essentials,Direct,88,440,1713800,59983,908314,1718906
2025-06-01,West,Essentials,Online,105,525,2044875,143141,1083784,1987875
2025-06-01,West,Furniture,Direct,101,202,4037475,545059,2846420,3682088
2025-06-01,West,Furniture,Online,112,224,4477200,761124,3156426,4265625
2025-06-01,West,Technology,Direct,99,297,4322835,151299,2636929,5138625
2025-06-01,West,Technology,Online,119,357,5196135,363729,3169642,5397953
2025-07-01,East,Essentials,Direct,52,260,1012700,35445,536731,867246
2025-07-01,East,Essentials,Online,71,355,1382725,96791,732844,1205094
2025-07-01,East,Furniture,Direct,63,126,2518425,226658,1775490,2225223
2025-07-01,East,Furniture,Online,79,158,3158025,394753,2226408,2740238
2025-07-01,East,Technology,Direct,71,213,3100215,108508,1891131,2532314
2025-07-01,East,Technology,Online,82,246,3580530,250637,2184123,3617123
2025-07-01,North,Essentials,Direct,62,310,1207450,42261,639949,1169773
2025-07-01,North,Essentials,Online,84,420,1635900,114513,867027,1302279
2025-07-01,North,Furniture,Direct,67,134,2678325,241049,1888219,2186184
2025-07-01,North,Furniture,Online,82,164,3277950,409744,2310955,3040538
2025-07-01,North,Technology,Direct,76,228,3318540,116149,2024309,2894074
2025-07-01,North,Technology,Online,91,273,3973515,278146,2423844,3922182
2025-07-01,South,Essentials,Direct,67,335,1304825,45669,691557,1169773
2025-07-01,South,Essentials,Online,94,470,1830650,128146,970245,1574397
2025-07-01,South,Furniture,Direct,78,156,3118050,280625,2198225,2498496
2025-07-01,South,Furniture,Online,91,182,3637725,454716,2564596,3040538
2025-07-01,South,Technology,Direct,81,243,3536865,123790,2157488,3210613
2025-07-01,South,Technology,Online,110,330,4803150,336221,2929922,4314400
2025-07-01,West,Essentials,Direct,82,410,1596950,55893,846384,1512638
2025-07-01,West,Essentials,Online,100,500,1947500,136325,1032175,2032050
2025-07-01,West,Furniture,Direct,84,168,3357900,453317,2367320,3327188
2025-07-01,West,Furniture,Online,106,212,4237350,720349,2987332,4095000
2025-07-01,West,Technology,Direct,88,264,3842520,134488,2343937,4419218
2025-07-01,West,Technology,Online,105,315,4584825,320938,2796743,4605593
2025-08-01,East,Essentials,Direct,55,275,1071125,37489,567696,947920
2025-08-01,East,Essentials,Online,72,360,1402200,98154,743166,1302279
2025-08-01,East,Furniture,Direct,60,120,2398500,215865,1690943,2381379
2025-08-01,East,Furniture,Online,81,162,3237975,404747,2282772,2852850
2025-08-01,East,Technology,Direct,71,213,3100215,108508,1891131,2713194
2025-08-01,East,Technology,Online,89,267,3886185,272033,2370573,3835022
2025-08-01,North,Essentials,Direct,68,340,1324300,46351,701879,1149605
2025-08-01,North,Essentials,Online,85,425,1655375,115876,877349,1613271
2025-08-01,North,Furniture,Direct,73,146,2918175,262636,2057313,2498496
2025-08-01,North,Furniture,Online,95,190,3797625,474703,2677326,3040538
2025-08-01,North,Technology,Direct,84,252,3667860,128375,2237395,3255833
2025-08-01,North,Technology,Online,94,282,4104510,287316,2503751,4270820
2025-08-01,South,Essentials,Direct,73,365,1421675,49759,753488,1331121
2025-08-01,South,Essentials,Online,100,500,1947500,136325,1032175,1671582
2025-08-01,South,Furniture,Direct,76,152,3038100,273429,2141861,2732730
2025-08-01,South,Furniture,Online,96,192,3837600,479700,2705508,3340838
2025-08-01,South,Technology,Direct,96,288,4191840,146714,2557022,3527152
2025-08-01,South,Technology,Online,102,306,4453830,311768,2716836,4227241
2025-08-01,West,Essentials,Direct,80,400,1558000,54530,825740,1627231
2025-08-01,West,Essentials,Online,108,540,2103300,147231,1114749,2076225
2025-08-01,West,Furniture,Direct,85,170,3397875,458713,2395502,3549000
2025-08-01,West,Furniture,Online,119,238,4757025,808694,3353703,4308281
2025-08-01,West,Technology,Direct,99,297,4322835,151299,2636929,4830308
2025-08-01,West,Technology,Online,120,360,5239800,366786,3196278,5199863
2025-09-01,East,Essentials,Direct,65,325,1265875,44306,670914,1089099
2025-09-01,East,Essentials,Online,84,420,1635900,114513,867027,1535523
2025-09-01,East,Furniture,Direct,68,136,2718300,244647,1916402,2303301
2025-09-01,East,Furniture,Online,91,182,3637725,454716,2564596,3265763
2025-09-01,East,Technology,Direct,82,246,3580530,125319,2184123,3391493
2025-09-01,East,Technology,Online,101,303,4410165,308712,2690201,3965762
2025-09-01,North,Essentials,Direct,69,345,1343775,47032,712201,1250447
2025-09-01,North,Essentials,Online,92,460,1791700,125419,949601,1729893
2025-09-01,North,Furniture,Direct,81,162,3237975,291418,2282772,2654652
2025-09-01,North,Furniture,Online,99,198,3957525,494691,2790055,3303300
2025-09-01,North,Technology,Direct,84,252,3667860,128375,2237395,3572372
2025-09-01,North,Technology,Online,104,312,4541160,317881,2770108,4009342
2025-09-01,South,Essentials,Direct,84,420,1635900,57257,867027,1411795
2025-09-01,South,Essentials,Online,107,535,2083825,145868,1104427,1768767
2025-09-01,South,Furniture,Direct,96,192,3837600,345384,2705508,3084081
2025-09-01,South,Furniture,Online,120,240,4797000,599625,3381885,3603600
2025-09-01,South,Technology,Direct,98,294,4279170,149771,2610294,3798472
2025-09-01,South,Technology,Online,112,336,4890480,342334,2983193,4357980
2025-09-01,West,Essentials,Direct,96,480,1869600,65436,990888,1787663
2025-09-01,West,Essentials,Online,105,525,2044875,143141,1083784,2275013
2025-09-01,West,Furniture,Direct,106,212,4237350,572042,2987332,4258800
2025-09-01,West,Furniture,Online,116,232,4637100,788307,3269156,4606875
2025-09-01,West,Technology,Direct,115,345,5021475,175752,3063100,5138625
2025-09-01,West,Technology,Online,128,384,5589120,391238,3409363,6140790
2025-10-01,East,Essentials,Direct,59,295,1149025,40216,608983,1043720
2025-10-01,East,Essentials,Online,86,430,1674850,117240,887671,1488680
2025-10-01,East,Furniture,Direct,62,124,2478450,223061,1747307,2383917
2025-10-01,East,Furniture,Online,86,172,3437850,429731,2423684,3263510
2025-10-01,East,Technology,Direct,69,207,3012885,105451,1837860,3182577
2025-10-01,East,Technology,Online,96,288,4191840,293429,2557022,4059458
2025-10-01,North,Essentials,Direct,65,325,1265875,44306,670914,1252464
2025-10-01,North,Essentials,Online,83,415,1616425,113150,856705,1589266
2025-10-01,North,Furniture,Direct,80,160,3198000,287820,2254590,2909186
2025-10-01,North,Furniture,Online,93,186,3717675,464709,2620961,3302362
2025-10-01,North,Technology,Direct,81,243,3536865,123790,2157488,3791010
2025-10-01,North,Technology,Online,98,294,4279170,299542,2610294,4645825
2025-10-01,South,Essentials,Direct,77,385,1499575,52485,794775,1461208
2025-10-01,South,Essentials,Online,97,485,1889075,132235,1001210,1931260
2025-10-01,South,Furniture,Direct,80,160,3198000,287820,2254590,2989997
2025-10-01,South,Furniture,Online,110,220,4397250,549656,3100061,3652023
2025-10-01,South,Technology,Direct,100,300,4366500,152828,2663565,4165431
2025-10-01,South,Technology,Online,107,321,4672155,327051,2850015,4555614
2025-10-01,West,Essentials,Direct,84,420,1635900,57257,867027,1779068
2025-10-01,West,Essentials,Online,106,530,2064350,144505,1094106,2286056
2025-10-01,West,Furniture,Direct,95,190,3797625,512679,2677326,3810961
2025-10-01,West,Furniture,Online,111,222,4437225,754328,3128244,4547370
2025-10-01,West,Technology,Direct,107,321,4672155,163525,2850015,4999368
2025-10-01,West,Technology,Online,136,408,5938440,415691,3622448,5894416
2025-11-01,East,Essentials,Direct,66,330,1285350,44987,681236,1273338
2025-11-01,East,Essentials,Online,97,485,1889075,132235,1001210,1649618
2025-11-01,East,Furniture,Direct,74,148,2958150,266234,2085496,2868781
2025-11-01,East,Furniture,Online,110,220,4397250,549656,3100061,3380064
2025-11-01,East,Technology,Direct,83,249,3624195,126847,2210759,3556997
2025-11-01,East,Technology,Online,122,366,5327130,372899,3249549,5006665
2025-11-01,North,Essentials,Direct,81,405,1577475,55212,836062,1586454
2025-11-01,North,Essentials,Online,111,555,2161725,151321,1145714,1790439
2025-11-01,North,Furniture,Direct,85,170,3397875,305809,2395502,3555672
2025-11-01,North,Furniture,Online,121,242,4836975,604622,3410067,4273644
2025-11-01,North,Technology,Direct,99,297,4322835,151299,2636929,4493049
2025-11-01,North,Technology,Online,118,354,5152470,360673,3143007,5322401
2025-11-01,South,Essentials,Direct,91,455,1772225,62028,939279,1753449
2025-11-01,South,Essentials,Online,121,605,2356475,164953,1248932,2132433
2025-11-01,South,Furniture,Direct,110,220,4397250,395752,3100061,3676888
2025-11-01,South,Furniture,Online,137,274,5476575,684572,3860985,4157090
2025-11-01,South,Technology,Direct,116,348,5065140,177280,3089735,4539852
2025-11-01,South,Technology,Online,132,396,5763780,403465,3515906,5683242
2025-11-01,West,Essentials,Direct,110,550,2142250,74979,1135393,2063719
2025-11-01,West,Essentials,Online,136,680,2648600,185402,1403758,2766128
2025-11-01,West,Furniture,Direct,116,232,4637100,626009,3269156,4821095
2025-11-01,West,Furniture,Online,141,282,5636475,958201,3973715,5209608
2025-11-01,West,Technology,Direct,115,345,5021475,175752,3063100,6275803
2025-11-01,West,Technology,Online,158,474,6899070,482935,4208433,6919531
2025-12-01,East,Essentials,Direct,69,345,1343775,47032,712201,1440333
2025-12-01,East,Essentials,Online,108,540,2103300,147231,1114749,1790439
2025-12-01,East,Furniture,Direct,91,182,3637725,327395,2564596,3030402
2025-12-01,East,Furniture,Online,113,226,4517175,564647,3184608,3962834
2025-12-01,East,Technology,Direct,102,306,4453830,155884,2716836,4259036
2025-12-01,East,Technology,Online,127,381,5545455,388182,3382728,4736035
2025-12-01,North,Essentials,Direct,91,455,1772225,62028,939279,1753449
2025-12-01,North,Essentials,Online,107,535,2083825,145868,1104427,1971495
2025-12-01,North,Furniture,Direct,96,192,3837600,345384,2705508,3272835
2025-12-01,North,Furniture,Online,119,238,4757025,594628,3353703,4390198
2025-12-01,North,Technology,Direct,104,312,4541160,158941,2770108,4867470
2025-12-01,North,Technology,Online,127,381,5545455,388182,3382728,5412611
2025-12-01,South,Essentials,Direct,100,500,1947500,68163,1032175,1983068
2025-12-01,South,Essentials,Online,133,665,2590175,181312,1372793,2333606
2025-12-01,South,Furniture,Direct,111,222,4437225,399350,3128244,3757699
2025-12-01,South,Furniture,Online,129,258,5156775,644597,3635526,5050671
2025-12-01,South,Technology,Direct,120,360,5239800,183393,3196278,5195088
2025-12-01,South,Technology,Online,146,438,6375090,446256,3888805,5683242
2025-12-01,West,Essentials,Direct,106,530,2064350,72252,1094106,2229765
2025-12-01,West,Essentials,Online,137,685,2668075,186765,1414080,2743268
2025-12-01,West,Furniture,Direct,116,232,4637100,626009,3269156,5326162
2025-12-01,West,Furniture,Online,148,296,5916300,1005771,4170992,6225040
2025-12-01,West,Technology,Direct,140,420,6113100,213959,3728991,6382172
2025-12-01,West,Technology,Online,164,492,7161060,501274,4368247,6970787
